 written on 13Jun2026 at 20:45:10 
   2.48202900000000       0.000000000000000E+000  0.000000000000000E+000
 -0.827343000000000        2.34007900000000       0.000000000000000E+000
 -0.827343000000000       -1.17004000000000        2.02656800000000     
           9
         229
    1    1    2    1    2    1    1    2    1    1    2    1    1    1    1
    1    1    1    1    1    2    2    1    1    2    2    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    2    1    2    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    2    1    1    2    1    1    1    1    1    1
    1    1    1    1    1    1    2    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    1    1    1    1    2    1    1    2    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    2    1    2    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    2    2    1    1    2    2    1
    1    1    1    1    1    1    1    1    2    1    1    2    1    1    2
    1    2    1    1

   -4   -3   -1
    1    1    0.18725262E-03 -0.15788759E-12
    2    1   -0.37172588E-03 -0.26874145E-11
    3    1   -0.31416986E-03  0.32730242E-12
    4    1    0.35533396E-03 -0.34082476E-11
    5    1    0.39210973E-03 -0.68252522E-12
    6    1   -0.80583130E-04  0.85514408E-12
    7    1    0.81954480E-04  0.19775934E-12
    8    1    0.20738946E-03 -0.29012610E-11
    9    1   -0.58405562E-03 -0.43568664E-12
    1    2    0.37172587E-03 -0.91707891E-12
    2    2   -0.34994039E-02  0.59340866E-11
    3    2    0.35016075E-02 -0.34845234E-11
    4    2   -0.24574245E-02 -0.13322191E-11
    5    2    0.14516167E-02  0.70126804E-12
    6    2    0.21042419E-02 -0.11018434E-11
    7    2   -0.14816808E-02  0.30826557E-12
    8    2    0.53247779E-05 -0.49128051E-11
    9    2   -0.20276603E-04 -0.40484667E-12
    1    3    0.31416987E-03 -0.30514410E-11
    2    3    0.35016075E-02 -0.45251199E-11
    3    3   -0.56130748E-02 -0.29609648E-11
    4    3   -0.31289224E-02 -0.46258674E-11
    5    3   -0.54620676E-03  0.19221074E-11
    6    3    0.23983459E-02 -0.79685650E-12
