 written on 13Jun2026 at 20:45:26 
   2.48202900000000       0.000000000000000E+000  0.000000000000000E+000
 -0.827343000000000        2.34007900000000       0.000000000000000E+000
 -0.827343000000000       -1.17004000000000        2.02656800000000     
           9
         229
    1    1    2    1    2    1    1    2    1    1    2    1    1    1    1
    1    1    1    1    1    2    2    1    1    2    2    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    2    1    2    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    2    1    1    2    1    1    1    1    1    1
    1    1    1    1    1    1    2    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    1    1    1    1    2    1    1    2    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    2    1    2    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    2    2    1    1    2    2    1
    1    1    1    1    1    1    1    1    2    1    1    2    1    1    2
    1    2    1    1

   -4   -3   -1
    1    1   -0.25318401E-02  0.14227508E-12
    2    1    0.49353430E-03  0.20487431E-12
    3    1    0.29997148E-03 -0.91812929E-12
    4    1   -0.72213156E-04  0.14678016E-12
    5    1    0.10291176E-02 -0.26413724E-11
    6    1    0.17440243E-03  0.15789878E-11
    7    1   -0.11755432E-03  0.19142691E-11
    8    1    0.56233358E-03 -0.19048610E-11
    9    1   -0.15770744E-02 -0.18984506E-11
    1    2   -0.49353431E-03 -0.16738520E-11
    2    2   -0.42168569E-02  0.53543073E-11
    3    2    0.29616161E-02  0.35057356E-11
    4    2   -0.20563771E-02 -0.93126271E-11
    5    2    0.99922575E-03 -0.15110231E-11
    6    2    0.98311863E-03 -0.61205403E-11
    7    2   -0.69052515E-03 -0.18174091E-11
    8    2    0.30404869E-04 -0.52444133E-12
    9    2   -0.71818002E-04  0.25829028E-11
    1    3   -0.29997148E-03 -0.44361468E-11
    2    3    0.29616160E-02 -0.36567607E-11
    3    3   -0.23983709E-02 -0.44006604E-11
    4    3    0.24068440E-02 -0.53571245E-11
    5    3   -0.34143737E-03  0.13309319E-11
    6    3    0.14208731E-02 -0.32496237E-11
