 written on 22Apr2026 at 01:20:52 
           9
         229
    1    1    2    1    2    1    1    2    1    1    2    1    1    1    1
    1    1    1    1    1    2    2    1    1    2    2    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    2    1    2    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    2    1    1    2    1    1    1    1    1    1
    1    1    1    1    1    1    2    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    1    1    1    1    2    1    1    2    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    2    1    2    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    2    2    1    1    2    2    1
    1    1    1    1    1    1    1    1    2    1    1    2    1    1    2
    1    2    1    1
   -4   -3   -1    1    1    0.000187   -0.000000
   -4   -3   -1    2    1   -0.000372   -0.000000
   -4   -3   -1    3    1   -0.000314    0.000000
   -4   -3   -1    4    1    0.000355   -0.000000
   -4   -3   -1    5    1    0.000392   -0.000000
   -4   -3   -1    6    1   -0.000081    0.000000
   -4   -3   -1    7    1    0.000082    0.000000
   -4   -3   -1    8    1    0.000207   -0.000000
   -4   -3   -1    9    1   -0.000584   -0.000000
   -4   -3   -1    1    2    0.000372   -0.000000
   -4   -3   -1    2    2   -0.003499    0.000000
   -4   -3   -1    3    2    0.003502   -0.000000
   -4   -3   -1    4    2   -0.002457   -0.000000
   -4   -3   -1    5    2    0.001452    0.000000
   -4   -3   -1    6    2    0.002104   -0.000000
   -4   -3   -1    7    2   -0.001482    0.000000
   -4   -3   -1    8    2    0.000005   -0.000000
   -4   -3   -1    9    2   -0.000020   -0.000000
   -4   -3   -1    1    3    0.000314   -0.000000
   -4   -3   -1    2    3    0.003502   -0.000000
   -4   -3   -1    3    3   -0.005613   -0.000000
   -4   -3   -1    4    3   -0.003129   -0.000000
   -4   -3   -1    5    3   -0.000546    0.000000
   -4   -3   -1    6    3    0.002398   -0.000000
   -4   -3   -1    7    3   -0.000243    0.000000
   -4   -3   -1    8    3    0.001489    0.000000
   -4   -3   -1    9    3   -0.000571   -0.000000
   -4   -3   -1    1    4   -0.000355    0.000000
   -4   -3   -1    2    4   -0.002457   -0.000000
   -4   -3   -1    3    4   -0.003129   -0.000000
   -4   -3   -1    4    4   -0.007938   -0.000000
   -4   -3   -1    5    4    0.000401   -0.000000
   -4   -3   -1    6    4   -0.000163    0.000000
   -4   -3   -1    7    4    0.002268   -0.000000
   -4   -3   -1    8    4    0.001410    0.000000
   -4   -3   -1    9    4    0.001226   -0.000000
