 written on 22Apr2026 at 01:21:07 
           9
         229
    1    1    2    1    2    1    1    2    1    1    2    1    1    1    1
    1    1    1    1    1    2    2    1    1    2    2    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    2    1    2    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    2    1    1    2    1    1    1    1    1    1
    1    1    1    1    1    1    2    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    1    1    1    1    2    1    1    2    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    2    1    2    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    2    2    1    1    2    2    1
    1    1    1    1    1    1    1    1    2    1    1    2    1    1    2
    1    2    1    1
   -4   -3   -1    1    1   -0.002532    0.000000
   -4   -3   -1    2    1    0.000494    0.000000
   -4   -3   -1    3    1    0.000300   -0.000000
   -4   -3   -1    4    1   -0.000072    0.000000
   -4   -3   -1    5    1    0.001029   -0.000000
   -4   -3   -1    6    1    0.000174    0.000000
   -4   -3   -1    7    1   -0.000118    0.000000
   -4   -3   -1    8    1    0.000562   -0.000000
   -4   -3   -1    9    1   -0.001577   -0.000000
   -4   -3   -1    1    2   -0.000494   -0.000000
   -4   -3   -1    2    2   -0.004217    0.000000
   -4   -3   -1    3    2    0.002962    0.000000
   -4   -3   -1    4    2   -0.002056   -0.000000
   -4   -3   -1    5    2    0.000999   -0.000000
   -4   -3   -1    6    2    0.000983   -0.000000
   -4   -3   -1    7    2   -0.000691   -0.000000
   -4   -3   -1    8    2    0.000030   -0.000000
   -4   -3   -1    9    2   -0.000072    0.000000
   -4   -3   -1    1    3   -0.000300   -0.000000
   -4   -3   -1    2    3    0.002962   -0.000000
   -4   -3   -1    3    3   -0.002398   -0.000000
   -4   -3   -1    4    3    0.002407   -0.000000
   -4   -3   -1    5    3   -0.000341    0.000000
   -4   -3   -1    6    3    0.001421   -0.000000
